name,location,venue_type,website,capacity,parking,catering,accommodation,facilities,contact_name,contact_email,contact_phone,facebook,instagram,twitter,linkedin,tiktok,description,address,postcode,source,scraped_date,source_url,detected_town,christmas_party,private_dining,outdoor_space,wedding_licensed,parking_onsite,accommodation_onsite
Hawkinge Community Centre,Hawkinge,Party Venue,http://hawkingecommunitycentre.co.uk/,Large (1-300),Onsite parking,Kitchen: Yes - Medium - basic food preparation,No on-site accommodation,"Onsite parking: 75 spaces, Disabled access, Disabled toilets, Kitchen: Yes - Medium - basic food preparation, Tables: 40 rectangle tables, Seating: 500 chairs,, 50 benches, Bar: Yes - Manned, WiFi, Staging, Projector, Projector screen, PA system",Scott Bechelli,info@hawkingecommunitycentre.co.uk,01303 894857,https://www.facebook.com/hawkingeCC,https://www.instagram.com/hawkinge_cc/,<code>https://twitter.com/HawkingeCC</code>,,,"Welcome to Hawkinge Community Centre – serving the local community. We are open seven days a week and present a varied programme of events, clubs and social events for all ages. Hawkinge Baptist Church and the offices of Hawkinge Town Council are also located at the Centre. We have rooms for hire to suit all types of events.","Heron Forstal Rd, Hawkinge, Kent, CT18 7FP",CT18 7FP,venues4hire.org,2026-09-03T10:01:33.119710,https://venues4hire.org/venue/details/12558/hawkinge-community-centre,folkestone,False,False,False,False,True,False
Hawkinge cricket and social club,Hawkinge,Party Venue,https://hawkingecricketandsocialclub.co.uk/,Medium (1-150),Onsite parking,Kitchen: Yes - Medium - basic food preparation,No on-site accommodation,"Onsite parking: 30 spaces, Nearby parking: Within 1 metres, On-street parking, Disabled access, Disabled toilets, Kitchen: Yes - Medium - basic food preparation, Tables: 4 round tables,, 12 rectangle tables, Seating: 80 chairs,, 2 benches, Cutlery, Crockery, Bar: Yes - Manned, WiFi, Staging",Andy Brooks,hawkingecricketclub@hotmail.com,07734 862289,,,,,,"Looking for a venue Hawkinge cricket club provides a great venue for your special occasion. From a party , christening ,wedding,wakes, to a charity event we will organise everything for you from the entertainment and catering. The clubs had a  extension  in 2017 with a new refurb if interested pls call Andy on 07734862289","Woodstock, Cricketers Close, Hawkinge, England, CT18 7NH",CT18 7NH,venues4hire.org,2026-09-03T10:01:34.082433,https://venues4hire.org/venue/details/33928/hawkinge-cricket-and-social-club,folkestone,False,False,False,True,True,False
"Herne Centre - Herne, near Herne Bay",Herne,Party Venue,https://thehernecentre.co.uk/,Medium (1-150),Onsite parking,Kitchen: Yes - Full - Facilities to prepare meal,No on-site accommodation,"Onsite parking: 15 spaces, Nearby parking: Within 10 metres, Disabled access, Disabled toilets, Kitchen: Yes - Full - Facilities to prepare meal, Tables: 13 round tables,, 12 rectangle tables, Seating: 100 chairs, Cutlery, Crockery, Bar: Yes - Manned, WiFi, Projector, Projector screen, PA system",Booking Administrator,bookings@thehernecentre.co.uk,01227 742700,https://www.facebook.com/HerneCentre/?locale=en_GB,,,,,"Our new State of the Art Centre opened in June 2018. We have an beautiful large hall, with a sprung floor, an adjoining smaller hall and a round room. The Centre is in the historic village of Herne in Kent; very close to St Martin's Church. It is less than a mile from the Cremortorium and 2 miles from Herne Bay. The Centre is about 6 miles from the City of Canterbury. A great venue for weddings, wakes, family celebrations & children's parties (we have a bouncy castle). Three different spaces for hire suitable for fitness classes, education, meetings and much more. The Herne Centre is managed by Herne & Broomfield Parish Council for further information, please phone 01227 742700 or email bookings@thehernecentre.co.uk","The Herne Centre, Saint Martin's View, Herne, near Herne Bay, Kent, CT6 7AP",CT6 7AP,venues4hire.org,2026-09-03T10:01:34.987523,https://venues4hire.org/venue/details/6470/herne-centre,canterbury,False,False,False,True,True,False
Kings Hill Community Centre,Kings Hill,Party Venue,http://www.kingshillparish.gov.uk,Large (1-300),Onsite parking,Kitchen: Yes - Medium - basic food preparation,No on-site accommodation,"Onsite parking: 30 spaces, Nearby parking: Within 50 metres, On-street parking, Disabled access, Disabled toilets, Lift, Kitchen: Yes - Medium - basic food preparation, Tables: 10 round tables,, 40 rectangle tables, Seating: 140 chairs, Cutlery, Crockery, Bar: Yes - Manned, WiFi, Staging",Bookings Clerk,,01732 220919,,,,,,"Versatile modern and beautiful halls and meeting rooms that can be hired for private functions including weddings, milestone parties, children's parties, meetings and regular class hire.","70 Gibson Drive, Kings Hill, Kent, ME19 4LG",ME19 4LG,venues4hire.org,2026-09-03T10:01:38.201869,https://venues4hire.org/venue/details/12680/kings-hill-community-centre,maidstone,False,False,False,True,True,False
Old School Hall East Farleigh,Maidstone,Party Venue,https://www.oldschoolhall.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Booking Manager,info@oldschoolhall.co.uk,07703 525138,,,,,,"The Old School Hall is in the beautiful village of East Farleigh on the River Medway, 3 miles south-east of Maidstone. It is a Grade II listed building that sits next to the Ancient Parish Church of East Farleigh high above East Farleigh marina. Its construction is typical of Victorian Gothic buildings of this period, with ragstone walls and arched mullion windows that make a handsome backdrop for photographs.It is used for a variety of local and wider public activities and is becoming increasingly popular as a party and event venue. We offer reduced rates to East Farleigh residents and community groups. The interior is decorated in colours and styles sympathetic to the building, though with quirky touches. Trestle tables and up to 100 unique vintage folding chairs recovered in individual fabrics are included in the hire. The kitchen is a good size and practical, with plenty of worktop s","Old School Hall, East Farleigh, Maidstone, Kent, ME15 0JL",ME15 0JL,venues4hire.org,2026-09-03T10:01:40.988866,https://venues4hire.org/venue/details/6628/old-school-hall-east-farleigh,maidstone,False,False,False,False,False,False
Petham Village Hall,Canterbury,Party Venue,http://www.pethamvillagehall.co.uk/,Medium (1-150),Onsite parking,Kitchen: Yes - Full - Facilities to prepare meal,No on-site accommodation,"Onsite parking: 20 spaces, On-street parking, Disabled access, Disabled toilets, Kitchen: Yes - Full - Facilities to prepare meal, Tables: 27 rectangle tables, Seating: 150 chairs, Cutlery, Crockery, WiFi, Staging, Projector, Projector screen, PA system",Bookings Administrator,,,https://www.facebook.com/Petham-Village-Hall-1462686630628156,,,,,"Petham Village Hall  is situated in the picturesque village of Petham, 4 miles south of Canterbury and just a few metres from the lovely country church of All Saints with views across rolling countryside, Hire charges are very competitive whether for shows, weddings, conferences, courses, parties, etc. Slots are available for regular or one-off bookings during the week and at weekends. Petham is a particularly beautiful venue for wedding receptions. The hall has everything to make the reception memorable including a stylish indoor space, bright reception area, attractive, landscaped garden and fully fitted kitchen for self-catering or outside caterers with space for about 150 guests. If your company is looking for a venue to hold a day conference or training day then Petham Village Hall has everything you need.","Church Lane, Petham, Canterbury, Kent, CT4 5RD",CT4 5RD,venues4hire.org,2026-09-03T10:01:43.701125,https://venues4hire.org/venue/details/41090/petham-village-hall,canterbury,False,False,True,True,True,False
Riverhead Village Hall,Sevenoaks,Party Venue,https://www.riverheadparishcouncil.org.uk/community/riverhead-parish-council-16021/village-hall/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,"Nearby parking: Within 30 metres, On-street parking, Disabled access, Disabled toilets, Tables: 8 rectangle tables, Seating: 80 chairs",Bookings Administrator,,01732 461278,https://www.facebook.com/riverheadparish,,,,,"The new Riverhead Village Hall was opened in 1999, replacing the earlier Memorial Hall erected by public subscription after the First World War. It provides a venue for many different local societies and events including St Mary's Pre-School and the Riverhead Community Venture. Both the main hall (13.5 x 6.5 metres) and small committee room are available for hire.","Riverhead Village Hall, Amherst Hill, Sevenoaks, Kent, TN13 2EL",TN13 2EL,venues4hire.org,2026-09-03T10:01:45.523198,https://venues4hire.org/venue/details/12594/riverhead-village-hall,sevenoaks,False,False,False,False,False,False
Singleton Environment Centre,Ashford,Party Venue,http://www.singletonenvironmentcentre.org.uk,Medium (1-150),Onsite parking,No on-site catering,No on-site accommodation,"Onsite parking: 35 spaces, On-street parking, Disabled access, Disabled toilets, Tables: 15 rectangle tables, Seating: 100 chairs, Bar: Yes - Manned, WiFi, Projector, Projector screen, PA system",John Alexander,centremanager@singletonenvironmentcentre.org.uk,07951 343885,https://www.facebook.com/SingletonEnvironmentCentre,,,,,"Singleton Environment Centre is Ashford's truly sustainable venue operated by a local charity - Singleton Spaces. Built and operated with minimal effect on the environment and with the environment at the core of everything we do. The centre is open to the public 7 days a week and available for bookings during the day or evenings. We are just 3 miles from the town centre, international train station and the M20 motorway, but situated in a tranquil setting adjoining 15 hectares of woodland with stunning views and thriving wildlife. See how to find us.  The Singleton Environment Centre has been built adjoining the Ashford Community Woodland Local Nature Reserve, a green space designed and managed by the local community. Whether you are looking to book one of our bright and airy rooms for a meeting, training or event, planning a family celebration, organising a school visit, wanting to learn","Wesley School Road, Ashford, Kent, TN23 5LW",TN23 5LW,venues4hire.org,2026-09-03T10:01:47.359600,https://venues4hire.org/venue/details/5296/singleton-environment-centre,ashford,False,False,False,False,True,False
Spotlites @ Kings Theatre,Chatham,Party Venue,http://www.spotlites.co.uk,Medium (1-150),No parking,No on-site catering,No on-site accommodation,"Nearby parking: Within 0 metres, Disabled access, Seating: 50 chairs, Staging, Projector, PA system",colin king,,01634 829468,,,,,,"Spotlites @ Kings Theatre is a professional theatre company, based in Chatham, Kent and founded 20 years ago. We specialise in interactive theatre for children and produce an extensive year long programme which we also tour both nationally and internationally. We tour to the Edinburgh Festival Fringe every August, where we take up residence at our own venue: Spotlites @ The Merchants’ Hall. Rachel Thomson-King is our Artistic Director and writes specifically for the company and its renowned interactive style, which she originated.","Spotlites @ Kings Theatre, 338 High Street, Chatham, Kent, ME4 4NR",ME4 4NR,venues4hire.org,2026-09-03T10:01:48.321193,https://venues4hire.org/venue/details/5315/spotlites-kings-theatre,maidstone,False,False,False,False,False,False
St Mary Kippington Centre,Sevenoaks,Party Venue,http://stmaryssevenoaks.org/,Medium (1-150),Onsite parking,Kitchen: Yes - Full - Facilities to prepare meal,No on-site accommodation,"Onsite parking: 20 spaces, Disabled access, Disabled toilets, Kitchen: Yes - Full - Facilities to prepare meal, Tables: 18 rectangle tables, Seating: 100 chairs, Cutlery, Crockery, Projector screen, PA system",Booking administrator,safeguarding@stmaryssevenoaks.org,01732 452112,,,,,,"Built in 2004, The Centre provides two areas for use, the main hall (13m x 10m) and, separated by a sound-proof divider, the Wreford Room (7m x 5m). These two areas can be used separately or opened up to provide one large hall. In addition, the Centre provides a fully-fitted kitchen, plus the usual toilets, and the whole building is designed to provide easy access for the disabled. OTHER USES The Centre is used for a variety of classes, church and community events, as well as private functions.","Kippington Road, Sevenoaks, Kent, TN13 2LL",TN13 2LL,venues4hire.org,2026-09-03T10:01:49.236386,https://venues4hire.org/venue/details/22158/st-mary-kippington-centre,sevenoaks,False,False,False,False,True,False
"St Stephens Church Hall, Canterbury",Canterbury,Party Venue,,Medium (1-150),No parking,Kitchen: Yes - Small - tea/coffee only,No on-site accommodation,"On-street parking, Disabled access, Disabled toilets, Kitchen: Yes - Small - tea/coffee only, Tables: 11 rectangle tables, Seating: 80 chairs, Cutlery, Crockery, Committee Room",Enid Dixon,,07887 957932,,,,,,The Church Hall is available for hire at reasonable rates; details available from the Booking Secretary The Hall has the following facilities: Committee Room Toilets (including Disabled and Baby changing facilities) Disabled entrance and exit also available It has a capacity of around 90 seated  and around 110 standing. It is suitable for: Club meetings Seminars Presentations Craft classes / meetings Exercise classes (including Dance and Yoga) Singing groups / classes Fund raising events (Quizzes / Jumble sales) Children's parties,"St Stephens Church Hall, Hales Drive, Canterbury, England, CT2 7AB",CT2 7AB,venues4hire.org,2026-09-03T10:01:51.056224,https://venues4hire.org/venue/details/41005/st-stephens-church-hall-canterbury,canterbury,False,False,False,False,False,False
Sunnyside Hall,Royal Tunbridge Wells,Party Venue,,Medium (1-150),Onsite parking,Kitchen: Yes - Full - Facilities to prepare meal,No on-site accommodation,"Onsite parking: 20 spaces, Nearby parking: Within 5 metres, On-street parking, Disabled access, Disabled toilets, Kitchen: Yes - Full - Facilities to prepare meal, Tables: 10 rectangle tables, Seating: 136 chairs,, 1 benches, Cutlery, Crockery, WiFi, Projector, Projector screen, PA system",Eugene Gardner,,01892 521414,,,,,,"​​﻿​Sunnyside Hall is a community village hall that hosts regular groups and ﻿is available to hire for parties, meetings, classes, dances, art shows, exhibitions, lectures, prayer meetings, book clubs, wedding receptions and sporting events both one time and recurring. Bouncy castles will fit inside the hall and in the garden.","Rusthall Road, Rusthall, Royal Tunbridge Wells, Kent, TN4 8RA",TN4 8RA,venues4hire.org,2026-09-03T10:01:52.864874,https://venues4hire.org/venue/details/6618/sunnyside-hall,tunbridge-wells,False,False,True,True,True,False
Ash Village Hall,Canterbury,Party Venue,http://www.ashvillagehall.org.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Mr Graham Ward,dpo@ashvillagehall.org.uk,01304 851967,,,,,,"Village Hall Medium (1-150) Situated in the middle of the village of Ash near Sandwich, We can offer a main hall for up to 200 people with a stage and PA system with access to a well equipped kitchen. A smaller room which also houses the KCC library is available for meeting of up to 30, with a tea bar kitchen.","Queens Road, Ash, Canterbury, Kent, CT3 2BG",CT3 2BG,venues4hire.org,2026-09-03T10:01:57.983363,https://venues4hire.org/venue/details/6573/ash-village-hall,canterbury,False,False,False,False,False,False
Blue Bell Hill Village Hall,Blue Bell Hill,Party Venue,http://www.bluebellhillvillagehall.co.uk,Medium (1-150),Onsite parking,Kitchen: Yes - Medium - basic food preparation,No on-site accommodation,"Onsite parking: 15 spaces, On-street parking, Disabled access, Disabled toilets, Kitchen: Yes - Medium - basic food preparation, Tables: 26 rectangle tables, Seating: 160 chairs, Staging, PA system",Bookings Administrator,,07704 458671,,,,,,"The village hall is a lovely venue and versatile for any occasion - it is light, spacious and extremely well maintained. It is set in the centre of Blue Bell Hill Village, set on the village green beside St Alban's Church. In 2011 the hall undertook refurbishments creating a larger space that is both modern and fresh, suitable for any occasion. There is parking available on site, including disabled parking, kitchen facilities and other amenities. The hall is well used by members of the local community for a variety of events and activities each week.","Blue Bell Hill Village Hall, 316 Robin Hood Lane, Blue Bell Hill, Kent, ME5 9QR",ME5 9QR,venues4hire.org,2026-09-03T10:02:00.663433,https://venues4hire.org/venue/details/4818/blue-bell-hill-village-hall,maidstone,False,False,False,False,True,False
Boughton Monchelsea Village Hall,Boughton Monchelsea,Party Venue,https://boughtonmonchelseavillagehall.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Booking Manager,hire@boughtonmonchelseavillagehall.co.uk,00000 000000,,,,,,"Village Hall Medium (1-150) Situated on a ragstone ridge between the North Downs and Weald of Kent we are set in beautiful countryside, just 4 miles south of Maidstone. There has been a community hall in the village since the end of World War 1. Boughton Monchelsea Village Hall and recreation ground is an ideal location for events such as birthday parties, wedding receptions, discos, fetes, bazaars and business meetings, as well as exercise classes and sporting activities.","Church Street, Boughton Monchelsea, Kent, ME17 4HN",ME17 4HN,venues4hire.org,2026-09-03T10:02:01.566159,https://venues4hire.org/venue/details/6742/boughton-monchelsea-village-hall,maidstone,False,False,False,True,False,False
Chilham Village Hall,Chilham,Party Venue,http://www.chilhamvillagehall.co.uk/,Large (1-300),Onsite parking,Kitchen: Yes - Full - Facilities to prepare meal,No on-site accommodation,"Onsite parking: 100 spaces, Nearby parking: Within 100 metres, Disabled access, Disabled toilets, Kitchen: Yes - Full - Facilities to prepare meal, Tables: 30 rectangle tables, Seating: 200 chairs, Staging",Bookings Administrator,,07975 754131,,,,,,Located in an area of outstanding natural beauty and in the picturesque village of Chilham. The village hall is an ideal location for all types of events from weddings using the two halls and ‘green room’ down to a cosy meeting in the ‘green room’. The main hall is a timber framed 15th century tithe barn and the inside is a large open area with a high sloping roof supported by dark oak beams inset with white panels.,"Chilham Village Hall, Chilham, Kent, CT4 8DB",CT4 8DB,venues4hire.org,2026-09-03T10:02:03.434121,https://venues4hire.org/venue/details/12125/chilham-village-hall,canterbury,False,False,False,True,True,False
Crockham Hill Village Hall,Crockham Hill,Party Venue,http://www.crockhamhillvillagehall.co.uk/,Large (1-300),No parking,No on-site catering,No on-site accommodation,×,Bookings Administrator,,01732 866408,https://www.facebook.com/profile.php?id=61551116965991,,,,,Village Hall Large (1-300) Crockham Hill Village Hall has all the facilities needed to make your event a great success: A main function room which can host 250 people (135 sitting) with a fully equipped kitchen attached; a separate more discreet function room hosting 40 people (24 sitting) with its own small kitchenette and WC facilities – this can be hired separately or used as an annex to the main hall; super-fast broadband WiFi is also available to all hall hirers. Ample off road car parking is provided.,"Main Road, Crockham Hill, Kent, TN8 6RP",TN8 6RP,venues4hire.org,2026-09-03T10:02:05.198171,https://venues4hire.org/venue/details/6741/crockham-hill-village-hall,tonbridge,False,True,False,False,True,False
