Venue Name,URL,Score,Severity,Unclaimed Listing,Description Length,Photo Count,Amenity Count,Has Capacity,Has Parking,Has Catering,Has Accommodation,Has Accessibility,Has Address,Has Email,Email Address,Email Source,Has Phone,Has Website,Room Count,Issue Count,Critical Issues,Warnings,Suggestions
Avanta Bromley,https://www.kentvenues.co.uk/venues/avanta-bromley,0,Critical,Yes,87,0,0,No,No,No,No,No,Yes,No,,,No,No,0,11,5,4,2
Aylesham Welfare Leisure Centre,https://www.kentvenues.co.uk/venues/aylesham-welfare-leisure-centre,66,Critical,No,526,2,3,No,Yes,Yes,No,Yes,Yes,Yes,info@ayleshamwlc.org,form,No,Yes,1,5,1,1,3
Barn Tunbridge Wells,https://www.kentvenues.co.uk/venues/barn-tunbridge-wells,76,Critical,No,3082,8,3,No,Yes,Yes,No,Yes,Yes,Yes,thebarn01@btconnect.com,form,No,Yes,3,4,1,0,3
Barnehurst Golf Club,https://www.kentvenues.co.uk/venues/barnehurst-golf-club,52,Critical,No,247,4,6,No,No,Yes,No,No,Yes,Yes,marketing@mytimeactive.co.uk,form,No,Yes,0,8,1,2,5
Basepoint Chatham,https://www.kentvenues.co.uk/venues/basepoint-chatham,45,Critical,No,271,2,2,No,Yes,No,No,No,Yes,Yes,enquiries@basepoint.co.uk,form,No,Yes,0,8,1,4,3
Baypoint Sports Club,https://www.kentvenues.co.uk/venues/baypoint-sports-club,58,Critical,No,97,5,7,No,Yes,Yes,No,No,Yes,Yes,hello@baypoint-club.co.uk,form,No,Yes,0,6,1,2,3
Beach Hut Weddings,https://www.kentvenues.co.uk/venues/beach-hut-weddings,19,Critical,No,391,2,0,No,No,No,No,No,No,Yes,kirsty@beachhutweddings.co.uk,form,No,Yes,0,10,2,5,3
Beaney House of Art and Knowledge,https://www.kentvenues.co.uk/venues/beaney-house-of-art-and-knowledge,71,Critical,No,431,7,2,No,Yes,Yes,No,Yes,Yes,Yes,beaney@canterbury.gov.uk,form,No,Yes,3,5,1,1,3
Beckenham Place,https://www.kentvenues.co.uk/venues/beckenham-place,30,Critical,Yes,146,3,1,No,No,Yes,No,No,Yes,Yes,events@beckenhamplace.org,form,No,Yes,3,10,2,4,4
Belgo Bromley,https://www.kentvenues.co.uk/venues/belgo-bromley,17,Critical,No,160,1,0,No,No,Yes,No,No,Yes,No,,,No,Yes,1,9,3,4,2
Best Western Abbots Barton Hotel,https://www.kentvenues.co.uk/venues/best-western-abbots-barton-hotel,46,Critical,No,440,2,2,No,No,Yes,Yes,No,Yes,Yes,reservations@abbotsbartonhotel.com,form,No,Yes,0,8,1,4,3
Best Western Plus Dover Marina Hotel & Spa,https://www.kentvenues.co.uk/venues/best-western-plus-dover-marina-hotel-spa,54,Critical,No,636,2,4,No,No,Yes,Yes,No,Yes,Yes,reservations@dovermarinahotel.co.uk,form,No,Yes,3,6,1,3,2
Bestwestern Clifton Hotel,https://www.kentvenues.co.uk/venues/bestwestern-clifton-hotel,0,Critical,Yes,0,0,0,No,No,No,No,No,No,No,,,No,No,0,1,1,0,0
BestWestern Donnington Manor,https://www.kentvenues.co.uk/venues/bestwestern-donnington-manor,34,Critical,Yes,122,3,2,No,Yes,No,Yes,No,Yes,Yes,reservations@donningtonmanor.com,form,No,Yes,3,9,2,4,3
BestWestern Manor Hotel,https://www.kentvenues.co.uk/venues/bestwestern-manor-hotel,39,Critical,Yes,119,6,2,No,Yes,No,Yes,No,Yes,Yes,res@bwmanor.com,form,No,Yes,3,8,2,4,2
BestWestern Rose & Crown Hotel,https://www.kentvenues.co.uk/venues/bestwestern-rose-crown-hotel,31,Critical,Yes,30,6,2,No,Yes,No,Yes,No,Yes,Yes,social@bestwestern.co.uk,form,No,No,3,9,2,4,3
BestWestern Stade Court Hotel,https://www.kentvenues.co.uk/venues/bestwestern-stade-court-hotel,21,Critical,Yes,85,4,1,No,No,No,Yes,No,Yes,Yes,info@stadecourthotel.co.uk,form,No,Yes,2,10,2,5,3
Bewl Water,https://www.kentvenues.co.uk/venues/bewl-water-2,72,Critical,No,4022,0,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,info@bewlwater.co.uk,form,Yes,Yes,3,3,1,1,1
Bexleyheath Marriott Hotel,https://www.kentvenues.co.uk/venues/bexleyheath-marriott-hotel,39,Critical,Yes,125,4,5,No,Yes,No,Yes,No,Yes,Yes,bexleyheath.events@marriotthotels.co.uk,form,No,Yes,3,8,2,3,3
Biddenden Vineyards,https://www.kentvenues.co.uk/venues/biddenden-vineyards-2,52,Critical,No,528,5,0,Yes,No,No,No,No,Yes,Yes,info@biddendenvineyards.co.uk,form,No,Yes,1,7,1,3,3
Bilsington Festival Fields,https://www.kentvenues.co.uk/venues/bilsington-festival-fields,22,Critical,No,166,1,0,No,No,No,No,No,Yes,Yes,info@landforevents.co.uk,form,No,Yes,1,10,2,5,3
Birchwood Park Golf Centre,https://www.kentvenues.co.uk/venues/birchwood-park-golf-centre,40,Critical,Yes,136,5,5,No,Yes,No,No,No,Yes,Yes,info@birchwoodparkgc.co.uk,form,No,Yes,1,8,2,3,3
Bloomsburys Biddenden,https://www.kentvenues.co.uk/venues/bloomsburys-biddenden,64,Critical,No,401,6,5,No,No,Yes,Yes,No,Yes,Yes,info@bloomsburysbiddenden.com,form,No,Yes,0,5,1,2,2
Blue Pigeons Hotel,https://www.kentvenues.co.uk/venues/blue-pigeons-hotel,50,Critical,No,145,9,2,No,No,Yes,No,No,Yes,Yes,enquiries@thebluepigeons.co.uk,form,No,Yes,2,8,1,4,3
Bluebirds Function Rooms,https://www.kentvenues.co.uk/venues/bluebirds-function-rooms,37,Critical,No,54,3,0,Yes,No,No,No,No,Yes,Yes,kayleigh@bluebirdsdover.com,form,No,Yes,0,9,1,4,4
Bodiam Castle,https://www.kentvenues.co.uk/venues/bodiam-castle,68,Critical,No,587,3,4,No,Yes,Yes,No,Yes,Yes,Yes,facebook@nationaltrust.org.uk,form,No,Yes,0,6,1,0,5
Bore Place,https://www.kentvenues.co.uk/venues/bore-place,59,Critical,No,465,10,1,No,No,Yes,Yes,No,Yes,Yes,hello@boreplace.org,form,No,Yes,3,6,1,3,2
Botany Bay Hotel,https://www.kentvenues.co.uk/venues/botany-bay-hotel,29,Critical,Yes,87,3,2,No,Yes,No,Yes,No,Yes,Yes,botanybay@shepherdneame.co.uk,form,No,Yes,3,9,2,4,3
Boughton Golf Club,https://www.kentvenues.co.uk/venues/boughton-golf-club,18,Critical,Yes,1532,0,0,Yes,No,No,Yes,No,Yes,Yes,enquiries@cavehotels.com,form,No,Yes,0,9,3,3,3
Bowles,https://www.kentvenues.co.uk/venues/bowles,72,Critical,No,3826,6,0,Yes,Yes,Yes,Yes,No,Yes,Yes,admin@bowles.rocks,form,No,Yes,3,4,1,1,2
Boxley Abbey,https://www.kentvenues.co.uk/venues/boxley-abbey,4,Critical,No,58,1,0,No,No,No,No,No,Yes,No,,,No,No,1,10,3,5,2
Boys Hall Manor,https://www.kentvenues.co.uk/venues/boys-hall-manor,25,Critical,Yes,90,3,2,No,Yes,No,No,No,Yes,Yes,info@boys-hall.com,form,No,Yes,1,10,2,4,4
Bradbourne House,https://www.kentvenues.co.uk/venues/bradbourne-house,47,Critical,No,638,6,1,No,No,No,No,No,Yes,Yes,enquiries@bradbournehousekent.co.uk,form,No,Yes,3,8,1,4,3
Brands Hatch Race Circuit,https://www.kentvenues.co.uk/venues/brands-hatch-race-circuit,12,Critical,Yes,105,3,0,No,No,No,No,No,Yes,Yes,corpsales@msv.com,form,No,Yes,1,11,3,4,4
Brandshatch Place Hotel,https://www.kentvenues.co.uk/venues/brandshatch-place-hotel,42,Critical,Yes,96,3,4,No,Yes,Yes,Yes,No,Yes,Yes,enquiries@handpicked.co.uk,form,No,Yes,3,7,2,2,3
Bredhurst Village Hall,https://www.kentvenues.co.uk/venues/bredhurst-village-hall,35,Critical,Yes,89,5,3,No,No,Yes,No,No,Yes,Yes,bookings@bredhurstvhall.co.uk,form,No,Yes,1,8,2,3,3
Brenley Farm,https://www.kentvenues.co.uk/venues/brenley-farm-2,93,Warning,No,3315,7,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,info@brenley-farm.co.uk,form,No,Yes,3,2,0,1,1
Bridgewood Manor Chatham Kent,https://www.kentvenues.co.uk/venues/bridgewood-manor-chatham-kent,87,Warning,No,1758,6,8,Yes,Yes,Yes,Yes,No,Yes,Yes,reception@bridgewoodmanorhotel.com,form,No,Yes,3,3,0,1,2
Broadstairs Pavilion,https://www.kentvenues.co.uk/venues/broadstairs-pavilion,7,Critical,Yes,93,3,0,No,No,No,No,No,Yes,Yes,pavilion@thorleytaverns.co.uk,form,No,Yes,1,11,3,4,4
Brogdale Farm,https://www.kentvenues.co.uk/venues/brogdale-farm,0,Critical,Yes,97,0,0,No,No,No,No,No,Yes,Yes,info@georgewebbfinn.com,form,No,No,0,12,4,4,4
Brokehill Golf Club,https://www.kentvenues.co.uk/venues/brokehill-golf-club,4,Critical,Yes,139,1,0,No,No,No,No,No,Yes,Yes,info@thedarenth.com,form,No,Yes,0,12,3,5,4
Bromley Conference Centre,https://www.kentvenues.co.uk/venues/bromley-conference-centre,0,Critical,Yes,123,0,0,No,No,No,No,No,Yes,Yes,thebcc@prospects.co.uk,form,No,Yes,1,11,4,4,3
The Bromley Court Hotel,https://www.kentvenues.co.uk/venues/bromley-court-hotel,11,Critical,Yes,87,3,0,No,No,No,Yes,No,Yes,Yes,enquiries@bromleycourthotel.co.uk,form,No,Yes,3,10,3,4,3
Bromley Education Development Centre,https://www.kentvenues.co.uk/venues/bromley-education-development-centre,0,Critical,Yes,120,0,0,No,No,No,No,No,Yes,Yes,ann.knox@bromley.gov.uk,form,No,No,0,13,4,4,5
Bromley Football Club,https://www.kentvenues.co.uk/venues/bromley-football-club,17,Critical,Yes,122,7,0,No,No,No,No,No,Yes,Yes,events@bromleyfc.co.uk,form,No,Yes,3,10,3,4,3
Broome Park Golf & Country Club,https://www.kentvenues.co.uk/venues/broome-park-golf-country-club,25,Critical,Yes,98,2,3,No,Yes,No,No,No,Yes,Yes,professionals@broomepark.co.uk,form,No,Yes,1,9,2,4,3
Broome Park Hotel,https://www.kentvenues.co.uk/venues/broome-park-hotel,31,Critical,No,142,3,0,No,No,No,Yes,No,Yes,Yes,sales@broomepark.co.uk,form,No,Yes,3,9,2,4,3
Browns Bluewater,https://www.kentvenues.co.uk/venues/browns-bluewater,25,Critical,Yes,119,4,2,No,Yes,Yes,No,No,Yes,No,,,No,No,1,9,3,3,3
Buckmore Park Karting,https://www.kentvenues.co.uk/venues/buckmore-park-karting-ltd,12,Critical,Yes,133,3,0,No,No,No,No,No,Yes,Yes,sales@buckmore.co.uk,form,No,Yes,1,11,3,4,4
The Bull Inn Hotel,https://www.kentvenues.co.uk/venues/bull-inn-hotel,21,Critical,Yes,85,3,1,No,No,No,Yes,No,Yes,Yes,info@thebullhotel.com,form,No,Yes,3,10,2,5,3
Burrswood Conference Centre,https://www.kentvenues.co.uk/venues/burrswood-conference-centre,0,Critical,Yes,95,1,0,No,No,No,No,No,Yes,No,,,No,No,0,12,4,5,3
Cafe Rouge Canterbury,https://www.kentvenues.co.uk/venues/cafe-rouge-canterbury,45,Critical,No,492,5,0,No,No,Yes,No,No,Yes,Yes,social@caferouge.co.uk,form,No,Yes,1,7,2,2,3
Calverley House Business & Conference Centre,https://www.kentvenues.co.uk/venues/calverley-house-business-conference-centre,0,Critical,Yes,135,0,0,No,No,No,No,No,Yes,Yes,info@calverleyhouse.co.uk,form,No,Yes,0,12,4,4,4
Camden Place,https://www.kentvenues.co.uk/venues/camden-place,35,Critical,Yes,121,5,2,No,Yes,No,No,No,Yes,Yes,thegm@chislehurstgolfclub.co.uk,form,No,Yes,1,9,2,4,3
Campanile Dartford,https://www.kentvenues.co.uk/venues/campanile-dartford,34,Critical,Yes,165,4,2,No,Yes,No,Yes,No,Yes,Yes,dartford@campanile.com,form,No,Yes,3,9,2,4,3
Canterbury Cathedral Lodge,https://www.kentvenues.co.uk/venues/canterbury-cathedral-lodge,79,Warning,No,1898,6,3,Yes,No,Yes,Yes,No,Yes,Yes,stay@canterburycathedrallodge.org,form,No,Yes,2,4,0,2,2
Canterbury Christ Church University,https://www.kentvenues.co.uk/venues/canterbury-christ-church-university,38,Critical,No,278,6,1,No,No,No,Yes,No,Yes,No,,,No,Yes,3,7,2,4,1
Cave Hotel & Golf Resort,https://www.kentvenues.co.uk/venues/cave-hotel-golf-resort,90,Warning,No,3773,15,17,Yes,No,Yes,Yes,Yes,Yes,Yes,sales@cavehotels.com,form,No,Yes,3,2,0,1,1
CC Rooms,https://www.kentvenues.co.uk/venues/cc-rooms,40,Critical,No,1086,0,0,Yes,No,Yes,No,No,Yes,Yes,info@ccrooms.co.uk,form,No,Yes,0,7,2,2,3
Chafford Park,https://www.kentvenues.co.uk/venues/chafford-park,7,Critical,No,0,2,0,No,No,No,No,No,Yes,Yes,hello@chaffordpark.co.uk,form,No,Yes,0,10,3,4,3
Chapter One,https://www.kentvenues.co.uk/venues/chapter-one,30,Critical,Yes,95,5,2,No,Yes,No,No,No,Yes,Yes,info@chapteronerestaurant.co.uk,form,No,Yes,2,9,2,4,3
Charlton Place,https://www.kentvenues.co.uk/venues/charlton-place,55,Critical,No,433,6,2,No,No,Yes,No,No,Yes,Yes,info@charlton-park.org,form,No,Yes,0,7,1,3,3
Chart Hills Golf Club,https://www.kentvenues.co.uk/venues/chart-hills-golf-club-2,51,Critical,Yes,101,4,5,No,Yes,Yes,No,Yes,Yes,Yes,fayeb@charthills.co.uk,form,No,Yes,3,7,2,1,4
Chartwell,https://www.kentvenues.co.uk/venues/chartwell,7,Critical,Yes,100,1,0,No,No,No,No,No,Yes,Yes,facebook@nationaltrust.org.uk,form,No,Yes,1,11,3,5,3
Chaucer Hotel,https://www.kentvenues.co.uk/venues/chaucer-hotel,14,Critical,Yes,82,0,3,No,Yes,Yes,Yes,No,Yes,No,,,No,No,3,7,4,2,1
Chiddingstone Castle,https://www.kentvenues.co.uk/venues/chiddingstone-castle,27,Critical,No,148,4,0,No,No,No,No,No,Yes,Yes,hello@chiddingstonecastle.org.uk,form,No,Yes,3,10,2,4,4
Chilham Village Hall,https://www.kentvenues.co.uk/venues/chilham-village-hall,44,Critical,No,248,8,1,No,Yes,No,No,No,No,Yes,bookings@chilhamvillagehalls.co.uk,form,No,Yes,0,9,1,4,4
Chilston Park Country House,https://www.kentvenues.co.uk/venues/chilston-park-country-house-hotel,34,Critical,Yes,117,3,2,No,Yes,No,Yes,No,Yes,Yes,audleyswood@handpicked.co.uk,form,No,Yes,3,9,2,4,3
Chislehurst Methodist Church,https://www.kentvenues.co.uk/venues/chislehurst-methodist-church,31,Critical,No,290,2,0,No,No,No,Yes,No,Yes,Yes,chislehurstmch@gmail.com,form,No,Yes,3,8,2,4,2
Churchill Theatre,https://www.kentvenues.co.uk/venues/churchill-theatre,38,Critical,Yes,100,3,2,No,Yes,Yes,No,No,Yes,Yes,tickets@churchilltheatre.co.uk,form,No,Yes,3,9,2,3,4
Cineworld Ashford,https://www.kentvenues.co.uk/venues/cineworld-ashford,82,Warning,No,754,4,6,Yes,Yes,Yes,Yes,Yes,No,Yes,venuehire@cineworld.co.uk,form,No,Yes,0,4,0,1,3
Cineworld Bexleyheath,https://www.kentvenues.co.uk/venues/cineworld-bexleyheath,67,Critical,No,631,0,3,Yes,Yes,No,Yes,Yes,Yes,Yes,venuehire@cineworld.co.uk,form,No,Yes,1,4,1,1,2
Cineworld Rochester,https://www.kentvenues.co.uk/venues/cineworld-rochester,62,Critical,No,476,1,0,Yes,Yes,Yes,Yes,No,Yes,Yes,venuehire@cineworld.co.uk,form,No,Yes,1,5,1,2,2
Cinnamon Culture,https://www.kentvenues.co.uk/venues/cinnamon-culture,59,Critical,No,1897,3,0,Yes,No,Yes,Yes,No,Yes,Yes,info@cinnamonculture.com,form,No,Yes,1,6,1,2,3
Club Langley,https://www.kentvenues.co.uk/venues/club-langley,81,Warning,No,722,4,2,Yes,Yes,Yes,No,Yes,Yes,Yes,info@clublangley.co.uk,form,No,Yes,3,5,0,1,4
Cobtree Manor,https://www.kentvenues.co.uk/venues/cobtree-manor-park-golf-course,41,Critical,No,1914,2,4,No,No,Yes,Yes,No,Yes,No,,,No,Yes,1,6,2,3,1
Comfort Inn Ramsgate,https://www.kentvenues.co.uk/venues/comfort-inn-ramsgate,72,Critical,No,488,6,8,No,Yes,Yes,Yes,No,Yes,Yes,reservations@comfortinnramsgate.co.uk,form,No,Yes,1,4,1,1,2
Cooling Castle Barn,https://www.kentvenues.co.uk/venues/cooling-castle-barn,17,Critical,Yes,129,6,0,No,No,No,No,No,Yes,Yes,enquiries@coolingcastlebarn.com,form,No,Yes,3,10,3,4,3
Copper Rivet Distillery,https://www.kentvenues.co.uk/venues/copper-rivet-distillery,50,Critical,No,169,7,1,No,Yes,No,No,No,Yes,Yes,enquiries@copperrivetdistillery.com,form,No,Yes,1,8,1,4,3
Cornerstone B&B,https://www.kentvenues.co.uk/venues/cornerstone-bb,44,Critical,No,1608,4,0,No,No,No,Yes,Yes,Yes,Yes,info@cornerstonebandb.co.uk,form,No,Yes,1,7,2,2,3
Cornwallis Suite,https://www.kentvenues.co.uk/venues/cornwallis-suite,7,Critical,Yes,58,3,0,No,No,No,No,No,Yes,Yes,cornwallis@thyme2dine.co.uk,form,No,Yes,1,11,3,4,4
County Ground Beckenham,https://www.kentvenues.co.uk/venues/county-ground-beckenham,60,Critical,No,893,7,0,Yes,No,Yes,No,No,Yes,Yes,sales-countygroundbeckenham@centerplate.co.uk,form,No,Yes,1,6,1,2,3
County Hall,https://www.kentvenues.co.uk/venues/county-hall,0,Critical,Yes,94,0,0,No,No,No,No,No,Yes,No,,,No,No,0,12,5,4,3
County Hotel,https://www.kentvenues.co.uk/venues/county-hotel,3,Critical,Yes,80,0,3,No,No,Yes,Yes,No,Yes,No,,,No,Yes,0,9,4,3,2
Court Lodge Estate,https://www.kentvenues.co.uk/venues/court-lodge-estate,0,Critical,Yes,90,2,0,No,No,No,No,No,Yes,No,,,No,Yes,0,12,4,5,3
Crofton Halls,https://www.kentvenues.co.uk/venues/crofton-halls,32,Critical,No,404,2,0,No,No,Yes,No,No,Yes,Yes,civichalls@mytimeactive.co.uk,form,No,Yes,0,9,2,3,4
Crown Inn,https://www.kentvenues.co.uk/venues/crown-inn,62,Critical,No,410,1,4,No,Yes,Yes,Yes,No,Yes,Yes,crownsarre@hotmail.co.uk,form,No,Yes,3,5,1,2,2
Curzon Canterbury,https://www.kentvenues.co.uk/venues/curzon-canterbury,4,Critical,Yes,93,3,0,No,No,No,No,No,Yes,Yes,info@curzon.com,form,No,No,1,12,3,4,5
Danson House,https://www.kentvenues.co.uk/venues/danson-house,32,Critical,No,357,4,0,No,No,No,No,No,Yes,Yes,registerofficebexley@kent.gov.uk,form,No,Yes,0,9,2,3,4
Darling Buds Farm,https://www.kentvenues.co.uk/venues/darling-buds-farm,43,Critical,No,398,6,0,Yes,No,No,Yes,No,Yes,No,,,No,No,0,6,2,3,1
Deal Town Hall,https://www.kentvenues.co.uk/venues/deal-town-hall,36,Critical,No,666,1,0,No,No,Yes,Yes,No,Yes,Yes,deal.town.council@deal.gov.uk,form,No,Yes,0,8,2,3,3
Detling Corporate Services Conference Room,https://www.kentvenues.co.uk/venues/detling-corporate-services-conference-room,0,Critical,No,74,0,0,No,No,No,No,No,Yes,No,,,No,Yes,1,10,4,4,2
Diggerland,https://www.kentvenues.co.uk/venues/diggerland,25,Critical,Yes,127,2,1,No,Yes,No,No,No,Yes,Yes,marketing@diggerland.com,form,No,Yes,1,10,2,5,3
Dode Church,https://www.kentvenues.co.uk/venues/dode-church,0,Critical,Yes,79,0,0,No,No,No,No,No,Yes,Yes,enquiries@dodevillage.com,form,No,No,0,12,4,4,4
Dog & Bear Hotel,https://www.kentvenues.co.uk/venues/dog-bear-hotel,44,Critical,Yes,106,6,3,No,No,Yes,Yes,No,Yes,Yes,dogbear@shepherdneame.co.uk,form,No,Yes,3,7,2,3,2
Donnington Manor,https://www.kentvenues.co.uk/venues/donnington-manor,79,Warning,No,719,7,4,Yes,Yes,Yes,Yes,No,No,Yes,reservations@donningtonmanor.com,form,No,Yes,3,4,0,2,2
DoubleTree by Hilton Dartford Bridge,https://www.kentvenues.co.uk/venues/doubletree-by-hilton-dartford-bridge,60,Critical,No,325,4,7,No,Yes,Yes,No,No,Yes,Yes,hilton.commments@hilton.com,form,No,No,3,7,1,1,5
Dover Town Hall,https://www.kentvenues.co.uk/venues/dover-town-hall,20,Critical,Yes,68,2,1,No,Yes,No,No,No,Yes,Yes,dover@yourleisure.uk.com,form,No,Yes,1,10,2,5,3
Dreamland Margate,https://www.kentvenues.co.uk/venues/dreamland-margate-2,94,Suggestions,No,3414,10,3,Yes,Yes,Yes,No,Yes,Yes,Yes,sales@dreamland.co.uk,form,No,Yes,3,2,0,0,2
Due Amici Ristorante,https://www.kentvenues.co.uk/venues/due-amici-ristorante,0,Critical,Yes,0,0,0,No,No,No,No,No,No,No,,,No,No,0,1,1,0,0
East Kent College,https://www.kentvenues.co.uk/venues/east-kent-college,0,Critical,Yes,75,0,0,No,No,No,No,No,Yes,Yes,enquiries@ekcgroup.ac.uk,form,No,No,0,12,4,4,4
East Quay venue,https://www.kentvenues.co.uk/venues/east-quay-venue,82,Warning,No,1308,3,3,Yes,Yes,Yes,Yes,No,Yes,Yes,info@eqvenue.com,form,No,Yes,0,4,0,1,3
Eastwell Manor,https://www.kentvenues.co.uk/venues/eastwell-manor-2,67,Critical,No,1278,4,4,No,No,Yes,Yes,Yes,Yes,Yes,reservations@eastwellmanor.co.uk,form,No,Yes,3,5,1,1,3
Eastwell Park Boathouse,https://www.kentvenues.co.uk/venues/eastwell-park-boathouse,23,Critical,No,363,0,0,Yes,No,No,Yes,No,Yes,No,,,No,No,0,7,3,3,1
Edenwood Place,https://www.kentvenues.co.uk/venues/edenwood-place,7,Critical,No,0,2,0,No,No,No,No,No,Yes,Yes,weddings@edenwoodplace.co.uk,form,No,Yes,0,10,3,4,3
Elham Village Hall,https://www.kentvenues.co.uk/venues/elham-village-hall,60,Critical,No,810,5,2,No,Yes,Yes,No,No,Yes,Yes,bookingsecretary.evh@gmail.com,form,No,Yes,0,7,1,2,4
Elite Venue,https://www.kentvenues.co.uk/venues/elite-venue-3,78,Critical,No,3101,12,4,Yes,Yes,Yes,No,Yes,Yes,No,,,No,Yes,3,3,1,0,2
Elvey Farm,https://www.kentvenues.co.uk/venues/elvey-farm,64,Warning,No,1456,2,1,Yes,No,Yes,Yes,No,Yes,Yes,bookings@elveyfarm.co.uk,form,No,Yes,0,6,0,4,2
Etchinghill Golf Club,https://www.kentvenues.co.uk/venues/etchinghill-golf-club,47,Critical,No,290,4,1,No,Yes,No,No,No,Yes,Yes,deb@pentlandgolf.co.uk,form,No,No,1,9,1,3,5
Everest Inn Ashford,https://www.kentvenues.co.uk/venues/everest-inn-ashford,78,Warning,No,958,3,3,Yes,No,Yes,No,Yes,Yes,Yes,ashford@everestinn.co.uk,form,No,Yes,1,5,0,1,4
Everest Inn Hythe,https://www.kentvenues.co.uk/venues/everest-inn-hythe,68,Critical,No,1181,6,0,Yes,No,Yes,No,Yes,Yes,Yes,hythe@everestinn.co.uk,form,No,Yes,0,5,1,1,3
Falconhurst,https://www.kentvenues.co.uk/venues/falconhurst,52,Critical,No,300,5,0,Yes,No,No,No,No,Yes,Yes,info@falconhurst.co.uk,form,No,Yes,3,7,1,3,3
Falstaff Hotel,https://www.kentvenues.co.uk/venues/falstaff-hotel,42,Critical,Yes,88,4,4,No,Yes,Yes,Yes,No,Yes,Yes,stay@thefalstaffincanterbury.com,form,No,Yes,3,7,2,2,3
The Ferry Inn,https://www.kentvenues.co.uk/venues/ferry-inn,61,Critical,No,3382,7,0,No,Yes,Yes,No,Yes,Yes,Yes,info@oxneyferry.com,form,No,Yes,1,5,2,0,3
Folkestone Basepoint,https://www.kentvenues.co.uk/venues/folkestone-basepoint,25,Critical,Yes,145,2,2,No,Yes,No,No,No,Yes,Yes,hq@basepoint.co.uk,form,No,Yes,1,10,2,5,3
Fordwich Town Hall,https://www.kentvenues.co.uk/venues/fordwich-town-hall,47,Critical,No,654,1,0,Yes,No,Yes,No,No,Yes,Yes,sarah.fordwichevents@gmail.com,form,No,Yes,0,8,1,3,4
Fort Road Hotel,https://www.kentvenues.co.uk/venues/fort-road-hotel,66,Critical,No,838,8,12,Yes,No,Yes,Yes,No,Yes,No,,,No,Yes,0,4,1,2,1
Frankie and Benny's Bexleyheath,https://www.kentvenues.co.uk/venues/frankie-and-bennys-bexleyheath,27,Critical,No,313,3,0,No,No,Yes,No,No,Yes,No,,,No,Yes,1,8,3,2,3
Frankie and Benny's Orpington,https://www.kentvenues.co.uk/venues/frankie-and-bennys-orpington,27,Critical,No,491,3,0,No,No,Yes,No,No,Yes,No,,,No,Yes,0,8,3,2,3
Frasers,https://www.kentvenues.co.uk/venues/frasers,64,Critical,No,447,8,3,No,No,Yes,Yes,No,Yes,Yes,info@frasersevents.co.uk,form,No,Yes,3,5,1,2,2
