Venue Name	URL	Score	Issue Category	Severity	Issue Description	Recommended Improvement
Ann Robertson Centre	https://www.kentvenues.co.uk/venues/ann-robertson-centre	59	facilities	warning	Only 1 facilities listed (Refreshments)	"Expand the amenities list to include everything guests would want to know — WiFi, AV, parking, catering options, accessibility features"
Ann Robertson Centre	https://www.kentvenues.co.uk/venues/ann-robertson-centre	59	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Ann Robertson Centre	https://www.kentvenues.co.uk/venues/ann-robertson-centre	59	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Ann Robertson Centre	https://www.kentvenues.co.uk/venues/ann-robertson-centre	59	contact	warning	"Missing social media link(s): Facebook, Instagram (shown as a dead ""#"" link)"	"Add the venue's Facebook and Instagram profile URL(s) — the placeholder ""#"" links look broken to visitors"
Ann Robertson Centre	https://www.kentvenues.co.uk/venues/ann-robertson-centre	59	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Ann Robertson Centre	https://www.kentvenues.co.uk/venues/ann-robertson-centre	59	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Ashford International Hotel	https://www.kentvenues.co.uk/venues/ashford-international-hotel	39	description	critical	Listing is unclaimed — the description is auto-generated boilerplate	"Claim the listing and replace the auto-generated text with a real description (200+ words) covering character, history, setting and unique selling points"
Ashford International Hotel	https://www.kentvenues.co.uk/venues/ashford-international-hotel	39	description	warning	Description is very short (27 characters)	"Expand the description to at least 200 characters covering key details like venue style, setting, and ideal event types"
Ashford International Hotel	https://www.kentvenues.co.uk/venues/ashford-international-hotel	39	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Ashford International Hotel	https://www.kentvenues.co.uk/venues/ashford-international-hotel	39	photos	suggestion	Only 3 photos — could add more	"Aim for 8-10 photos covering exterior, each main space, and example event set-ups"
Ashford International Hotel	https://www.kentvenues.co.uk/venues/ashford-international-hotel	39	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Ashford International Hotel	https://www.kentvenues.co.uk/venues/ashford-international-hotel	39	contact	suggestion	No venue website link on the listing	Embed or link the venue's own website so visitors can research further
Ashford International Hotel	https://www.kentvenues.co.uk/venues/ashford-international-hotel	39	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Ashford International Hotel	https://www.kentvenues.co.uk/venues/ashford-international-hotel	39	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Assembly Hall Theatre	https://www.kentvenues.co.uk/venues/assembly-hall-theatre	17	description	critical	Listing is unclaimed — the description is auto-generated boilerplate	"Claim the listing and replace the auto-generated text with a real description (200+ words) covering character, history, setting and unique selling points"
Assembly Hall Theatre	https://www.kentvenues.co.uk/venues/assembly-hall-theatre	17	description	warning	Description is very short (66 characters)	"Expand the description to at least 200 characters covering key details like venue style, setting, and ideal event types"
Assembly Hall Theatre	https://www.kentvenues.co.uk/venues/assembly-hall-theatre	17	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Assembly Hall Theatre	https://www.kentvenues.co.uk/venues/assembly-hall-theatre	17	photos	warning	Only 2 photo(s) on the listing	"Add more photos — listings with 5+ images convert significantly better. Cover different spaces, angles, and event set-ups"
Assembly Hall Theatre	https://www.kentvenues.co.uk/venues/assembly-hall-theatre	17	facilities	warning	Only 1 facilities listed (Parking)	"Expand the amenities list to include everything guests would want to know — WiFi, AV, parking, catering options, accessibility features"
Assembly Hall Theatre	https://www.kentvenues.co.uk/venues/assembly-hall-theatre	17	catering	warning	No catering or food/drink information on the listing	"Clarify catering options: in-house catering, approved caterers list, BYO alcohol policy, and dietary accommodations"
Assembly Hall Theatre	https://www.kentvenues.co.uk/venues/assembly-hall-theatre	17	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Assembly Hall Theatre	https://www.kentvenues.co.uk/venues/assembly-hall-theatre	17	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Assembly Hall Theatre	https://www.kentvenues.co.uk/venues/assembly-hall-theatre	17	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Assembly Hall Theatre	https://www.kentvenues.co.uk/venues/assembly-hall-theatre	17	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Assembly Hall Theatre	https://www.kentvenues.co.uk/venues/assembly-hall-theatre	17	facilities	suggestion	Large venue has no individual rooms/spaces listed	"Break the venue into bookable spaces with individual descriptions, capacities, and photos"
Astor Community Theatre	https://www.kentvenues.co.uk/venues/astor-community-theatre	36	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Astor Community Theatre	https://www.kentvenues.co.uk/venues/astor-community-theatre	36	photos	suggestion	Only 3 photos — could add more	"Aim for 8-10 photos covering exterior, each main space, and example event set-ups"
Astor Community Theatre	https://www.kentvenues.co.uk/venues/astor-community-theatre	36	facilities	critical	No facilities or amenities listed	"Add a complete amenities list: WiFi, AV equipment, heating, air conditioning, kitchen access, etc."
Astor Community Theatre	https://www.kentvenues.co.uk/venues/astor-community-theatre	36	parking	warning	No parking information on the listing	"Add parking details: number of spaces, on-site vs nearby, disabled bays, EV charging, and any charges"
Astor Community Theatre	https://www.kentvenues.co.uk/venues/astor-community-theatre	36	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Astor Community Theatre	https://www.kentvenues.co.uk/venues/astor-community-theatre	36	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Astor Community Theatre	https://www.kentvenues.co.uk/venues/astor-community-theatre	36	contact	warning	"Missing social media link(s): Twitter/X, Instagram (shown as a dead ""#"" link)"	"Add the venue's Twitter/X and Instagram profile URL(s) — the placeholder ""#"" links look broken to visitors"
Astor Community Theatre	https://www.kentvenues.co.uk/venues/astor-community-theatre	36	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Astor Community Theatre	https://www.kentvenues.co.uk/venues/astor-community-theatre	36	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Avanta Bromley	https://www.kentvenues.co.uk/venues/avanta-bromley	0	description	critical	Listing is unclaimed — the description is auto-generated boilerplate	"Claim the listing and replace the auto-generated text with a real description (200+ words) covering character, history, setting and unique selling points"
Avanta Bromley	https://www.kentvenues.co.uk/venues/avanta-bromley	0	description	warning	Description is very short (87 characters)	"Expand the description to at least 200 characters covering key details like venue style, setting, and ideal event types"
Avanta Bromley	https://www.kentvenues.co.uk/venues/avanta-bromley	0	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Avanta Bromley	https://www.kentvenues.co.uk/venues/avanta-bromley	0	photos	critical	No photographs on the listing	"Add a minimum of 5 high-quality photographs showing the venue exterior, main spaces, and set-up examples"
Avanta Bromley	https://www.kentvenues.co.uk/venues/avanta-bromley	0	facilities	critical	No facilities or amenities listed	"Add a complete amenities list: WiFi, AV equipment, heating, air conditioning, kitchen access, etc."
Avanta Bromley	https://www.kentvenues.co.uk/venues/avanta-bromley	0	parking	warning	No parking information on the listing	"Add parking details: number of spaces, on-site vs nearby, disabled bays, EV charging, and any charges"
Avanta Bromley	https://www.kentvenues.co.uk/venues/avanta-bromley	0	catering	warning	No catering or food/drink information on the listing	"Clarify catering options: in-house catering, approved caterers list, BYO alcohol policy, and dietary accommodations"
Avanta Bromley	https://www.kentvenues.co.uk/venues/avanta-bromley	0	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Avanta Bromley	https://www.kentvenues.co.uk/venues/avanta-bromley	0	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Avanta Bromley	https://www.kentvenues.co.uk/venues/avanta-bromley	0	contact	critical	"No contact information at all — no email, no social media, no website link"	Add at minimum a contact email and the venue's website and social media links so enquirers can reach the venue directly
Avanta Bromley	https://www.kentvenues.co.uk/venues/avanta-bromley	0	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Aylesham Welfare Leisure Centre	https://www.kentvenues.co.uk/venues/aylesham-welfare-leisure-centre	66	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Aylesham Welfare Leisure Centre	https://www.kentvenues.co.uk/venues/aylesham-welfare-leisure-centre	66	photos	warning	Only 2 photo(s) on the listing	"Add more photos — listings with 5+ images convert significantly better. Cover different spaces, angles, and event set-ups"
Aylesham Welfare Leisure Centre	https://www.kentvenues.co.uk/venues/aylesham-welfare-leisure-centre	66	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Aylesham Welfare Leisure Centre	https://www.kentvenues.co.uk/venues/aylesham-welfare-leisure-centre	66	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Aylesham Welfare Leisure Centre	https://www.kentvenues.co.uk/venues/aylesham-welfare-leisure-centre	66	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Barn Tunbridge Wells	https://www.kentvenues.co.uk/venues/barn-tunbridge-wells	76	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Barn Tunbridge Wells	https://www.kentvenues.co.uk/venues/barn-tunbridge-wells	76	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Barn Tunbridge Wells	https://www.kentvenues.co.uk/venues/barn-tunbridge-wells	76	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Barn Tunbridge Wells	https://www.kentvenues.co.uk/venues/barn-tunbridge-wells	76	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Barnehurst Golf Club	https://www.kentvenues.co.uk/venues/barnehurst-golf-club	48	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Barnehurst Golf Club	https://www.kentvenues.co.uk/venues/barnehurst-golf-club	48	photos	suggestion	Only 4 photos — could add more	"Aim for 8-10 photos covering exterior, each main space, and example event set-ups"
Barnehurst Golf Club	https://www.kentvenues.co.uk/venues/barnehurst-golf-club	48	parking	warning	No parking information on the listing	"Add parking details: number of spaces, on-site vs nearby, disabled bays, EV charging, and any charges"
Barnehurst Golf Club	https://www.kentvenues.co.uk/venues/barnehurst-golf-club	48	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Barnehurst Golf Club	https://www.kentvenues.co.uk/venues/barnehurst-golf-club	48	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Barnehurst Golf Club	https://www.kentvenues.co.uk/venues/barnehurst-golf-club	48	contact	warning	"Missing social media link(s): Instagram (shown as a dead ""#"" link)"	"Add the venue's Instagram profile URL(s) — the placeholder ""#"" links look broken to visitors"
Barnehurst Golf Club	https://www.kentvenues.co.uk/venues/barnehurst-golf-club	48	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Barnehurst Golf Club	https://www.kentvenues.co.uk/venues/barnehurst-golf-club	48	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Barnehurst Golf Club	https://www.kentvenues.co.uk/venues/barnehurst-golf-club	48	facilities	suggestion	Large venue has no individual rooms/spaces listed	"Break the venue into bookable spaces with individual descriptions, capacities, and photos"
Basepoint Chatham	https://www.kentvenues.co.uk/venues/basepoint-chatham	41	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Basepoint Chatham	https://www.kentvenues.co.uk/venues/basepoint-chatham	41	photos	warning	Only 2 photo(s) on the listing	"Add more photos — listings with 5+ images convert significantly better. Cover different spaces, angles, and event set-ups"
Basepoint Chatham	https://www.kentvenues.co.uk/venues/basepoint-chatham	41	facilities	warning	"Only 2 facilities listed (Wifi, Parking)"	"Expand the amenities list to include everything guests would want to know — WiFi, AV, parking, catering options, accessibility features"
Basepoint Chatham	https://www.kentvenues.co.uk/venues/basepoint-chatham	41	catering	warning	No catering or food/drink information on the listing	"Clarify catering options: in-house catering, approved caterers list, BYO alcohol policy, and dietary accommodations"
Basepoint Chatham	https://www.kentvenues.co.uk/venues/basepoint-chatham	41	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Basepoint Chatham	https://www.kentvenues.co.uk/venues/basepoint-chatham	41	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Basepoint Chatham	https://www.kentvenues.co.uk/venues/basepoint-chatham	41	contact	warning	"Missing social media link(s): Instagram (shown as a dead ""#"" link)"	"Add the venue's Instagram profile URL(s) — the placeholder ""#"" links look broken to visitors"
Basepoint Chatham	https://www.kentvenues.co.uk/venues/basepoint-chatham	41	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Basepoint Chatham	https://www.kentvenues.co.uk/venues/basepoint-chatham	41	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Baypoint Sports Club	https://www.kentvenues.co.uk/venues/baypoint-sports-club	58	description	warning	Description is very short (97 characters)	"Expand the description to at least 200 characters covering key details like venue style, setting, and ideal event types"
Baypoint Sports Club	https://www.kentvenues.co.uk/venues/baypoint-sports-club	58	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Baypoint Sports Club	https://www.kentvenues.co.uk/venues/baypoint-sports-club	58	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Baypoint Sports Club	https://www.kentvenues.co.uk/venues/baypoint-sports-club	58	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Baypoint Sports Club	https://www.kentvenues.co.uk/venues/baypoint-sports-club	58	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Baypoint Sports Club	https://www.kentvenues.co.uk/venues/baypoint-sports-club	58	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Beach Hut Weddings	https://www.kentvenues.co.uk/venues/beach-hut-weddings	23	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Beach Hut Weddings	https://www.kentvenues.co.uk/venues/beach-hut-weddings	23	photos	warning	Only 2 photo(s) on the listing	"Add more photos — listings with 5+ images convert significantly better. Cover different spaces, angles, and event set-ups"
Beach Hut Weddings	https://www.kentvenues.co.uk/venues/beach-hut-weddings	23	facilities	critical	No facilities or amenities listed	"Add a complete amenities list: WiFi, AV equipment, heating, air conditioning, kitchen access, etc."
Beach Hut Weddings	https://www.kentvenues.co.uk/venues/beach-hut-weddings	23	parking	warning	No parking information on the listing	"Add parking details: number of spaces, on-site vs nearby, disabled bays, EV charging, and any charges"
Beach Hut Weddings	https://www.kentvenues.co.uk/venues/beach-hut-weddings	23	catering	warning	No catering or food/drink information on the listing	"Clarify catering options: in-house catering, approved caterers list, BYO alcohol policy, and dietary accommodations"
Beach Hut Weddings	https://www.kentvenues.co.uk/venues/beach-hut-weddings	23	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Beach Hut Weddings	https://www.kentvenues.co.uk/venues/beach-hut-weddings	23	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Beach Hut Weddings	https://www.kentvenues.co.uk/venues/beach-hut-weddings	23	contact	warning	"Missing social media link(s): Twitter/X (shown as a dead ""#"" link)"	"Add the venue's Twitter/X profile URL(s) — the placeholder ""#"" links look broken to visitors"
Beach Hut Weddings	https://www.kentvenues.co.uk/venues/beach-hut-weddings	23	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Beach Hut Weddings	https://www.kentvenues.co.uk/venues/beach-hut-weddings	23	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Beaney House of Art and Knowledge	https://www.kentvenues.co.uk/venues/beaney-house-of-art-and-knowledge	71	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Beaney House of Art and Knowledge	https://www.kentvenues.co.uk/venues/beaney-house-of-art-and-knowledge	71	facilities	warning	"Only 2 facilities listed (Parking, Wheelchair Accessible)"	"Expand the amenities list to include everything guests would want to know — WiFi, AV, parking, catering options, accessibility features"
Beaney House of Art and Knowledge	https://www.kentvenues.co.uk/venues/beaney-house-of-art-and-knowledge	71	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Beaney House of Art and Knowledge	https://www.kentvenues.co.uk/venues/beaney-house-of-art-and-knowledge	71	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Beaney House of Art and Knowledge	https://www.kentvenues.co.uk/venues/beaney-house-of-art-and-knowledge	71	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
