Venue Name,URL,Score,Severity,Unclaimed Listing,Description Length,Photo Count,Amenity Count,Has Capacity,Has Parking,Has Catering,Has Accommodation,Has Accessibility,Has Email,Has Phone,Has Website,Has Facebook,Has Twitter/X,Has Instagram,Room Count,Issue Count,Critical Issues,Warnings,Suggestions
Basepoint Chatham,https://www.kentvenues.co.uk/venues/basepoint-chatham,41,Critical,No,271,2,2,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,0,9,1,5,3
Baypoint Sports Club,https://www.kentvenues.co.uk/venues/baypoint-sports-club,58,Critical,No,97,5,7,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,0,6,1,2,3
Beach Hut Weddings,https://www.kentvenues.co.uk/venues/beach-hut-weddings,23,Critical,No,391,2,0,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,10,2,5,3
Beaney House of Art and Knowledge,https://www.kentvenues.co.uk/venues/beaney-house-of-art-and-knowledge,71,Critical,No,431,7,2,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3,5,1,1,3
Beckenham Place,https://www.kentvenues.co.uk/venues/beckenham-place,30,Critical,Yes,146,3,1,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,3,10,2,4,4
Belgo Bromley,https://www.kentvenues.co.uk/venues/belgo-bromley,16,Critical,No,160,1,0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,1,11,2,6,3
Best Western Abbots Barton Hotel,https://www.kentvenues.co.uk/venues/best-western-abbots-barton-hotel,46,Critical,No,440,2,2,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,0,8,1,4,3
Best Western Plus Dover Marina Hotel & Spa,https://www.kentvenues.co.uk/venues/best-western-plus-dover-marina-hotel-spa,54,Critical,No,636,2,4,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,6,1,3,2
Bestwestern Clifton Hotel,https://www.kentvenues.co.uk/venues/bestwestern-clifton-hotel,0,Critical,Yes,0,0,0,No,No,No,No,No,No,No,No,No,No,No,0,1,1,0,0
BestWestern Donnington Manor,https://www.kentvenues.co.uk/venues/bestwestern-donnington-manor,34,Critical,Yes,122,3,2,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,9,2,4,3
BestWestern Manor Hotel,https://www.kentvenues.co.uk/venues/bestwestern-manor-hotel,35,Critical,Yes,119,6,2,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,3,9,2,5,2
BestWestern Rose & Crown Hotel,https://www.kentvenues.co.uk/venues/bestwestern-rose-crown-hotel,31,Critical,Yes,30,6,2,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,3,9,2,4,3
BestWestern Stade Court Hotel,https://www.kentvenues.co.uk/venues/bestwestern-stade-court-hotel,17,Critical,Yes,85,4,1,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,2,11,2,6,3
Bewl Water,https://www.kentvenues.co.uk/venues/bewl-water-2,72,Critical,No,4022,0,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,1,1
Bexleyheath Marriott Hotel,https://www.kentvenues.co.uk/venues/bexleyheath-marriott-hotel,39,Critical,Yes,125,4,5,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,8,2,3,3
Biddenden Vineyards,https://www.kentvenues.co.uk/venues/biddenden-vineyards-2,52,Critical,No,528,5,0,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,7,1,3,3
Bilsington Festival Fields,https://www.kentvenues.co.uk/venues/bilsington-festival-fields,16,Critical,No,166,1,0,No,No,No,No,No,Yes,No,Yes,No,No,No,1,11,2,6,3
Birchwood Park Golf Centre,https://www.kentvenues.co.uk/venues/birchwood-park-golf-centre,40,Critical,Yes,136,5,5,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,8,2,3,3
Bloomsburys Biddenden,https://www.kentvenues.co.uk/venues/bloomsburys-biddenden,60,Critical,No,401,6,5,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,0,6,1,3,2
Blue Pigeons Hotel,https://www.kentvenues.co.uk/venues/blue-pigeons-hotel,50,Critical,No,145,9,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,2,8,1,4,3
Bluebirds Function Rooms,https://www.kentvenues.co.uk/venues/bluebirds-function-rooms,33,Critical,No,54,3,0,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,0,10,1,5,4
Bodiam Castle,https://www.kentvenues.co.uk/venues/bodiam-castle,68,Critical,No,587,3,4,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,0,6,1,0,5
Bore Place,https://www.kentvenues.co.uk/venues/bore-place,59,Critical,No,465,10,1,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,6,1,3,2
Botany Bay Hotel,https://www.kentvenues.co.uk/venues/botany-bay-hotel,29,Critical,Yes,87,3,2,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,9,2,4,3
Boughton Golf Club,https://www.kentvenues.co.uk/venues/boughton-golf-club,12,Critical,Yes,1532,0,0,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,0,10,3,4,3
Bowles,https://www.kentvenues.co.uk/venues/bowles,72,Critical,No,3826,6,0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,4,1,1,2
Boxley Abbey,https://www.kentvenues.co.uk/venues/boxley-abbey,4,Critical,No,58,1,0,No,No,No,No,No,No,No,No,No,No,No,1,10,3,5,2
Boys Hall Manor,https://www.kentvenues.co.uk/venues/boys-hall-manor,21,Critical,Yes,90,3,2,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,1,11,2,5,4
Bradbourne House,https://www.kentvenues.co.uk/venues/bradbourne-house,47,Critical,No,638,6,1,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,3,8,1,4,3
Brands Hatch Race Circuit,https://www.kentvenues.co.uk/venues/brands-hatch-race-circuit,8,Critical,Yes,105,3,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,1,12,3,5,4
Brandshatch Place Hotel,https://www.kentvenues.co.uk/venues/brandshatch-place-hotel,42,Critical,Yes,96,3,4,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,7,2,2,3
Bredhurst Village Hall,https://www.kentvenues.co.uk/venues/bredhurst-village-hall,31,Critical,Yes,89,5,3,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,1,9,2,4,3
Brenley Farm,https://www.kentvenues.co.uk/venues/brenley-farm-2,89,Warning,No,3315,7,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,3,3,0,2,1
Bridgewood Manor Chatham Kent,https://www.kentvenues.co.uk/venues/bridgewood-manor-chatham-kent,87,Warning,No,1758,6,8,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,3,0,1,2
Broadstairs Pavilion,https://www.kentvenues.co.uk/venues/broadstairs-pavilion,3,Critical,Yes,93,3,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,1,12,3,5,4
Brogdale Farm,https://www.kentvenues.co.uk/venues/brogdale-farm,0,Critical,Yes,97,0,0,No,No,No,No,No,Yes,No,No,No,No,No,0,13,4,5,4
Brokehill Golf Club,https://www.kentvenues.co.uk/venues/brokehill-golf-club,0,Critical,Yes,139,1,0,No,No,No,No,No,Yes,No,Yes,Yes,No,No,0,13,3,6,4
Bromley Conference Centre,https://www.kentvenues.co.uk/venues/bromley-conference-centre,0,Critical,Yes,123,0,0,No,No,No,No,No,Yes,No,Yes,No,No,No,1,12,4,5,3
The Bromley Court Hotel,https://www.kentvenues.co.uk/venues/bromley-court-hotel,11,Critical,Yes,87,3,0,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,10,3,4,3
Bromley Education Development Centre,https://www.kentvenues.co.uk/venues/bromley-education-development-centre,0,Critical,Yes,120,0,0,No,No,No,No,No,Yes,No,No,No,No,No,0,14,4,5,5
Bromley Football Club,https://www.kentvenues.co.uk/venues/bromley-football-club,17,Critical,Yes,122,7,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,3,10,3,4,3
Broome Park Golf & Country Club,https://www.kentvenues.co.uk/venues/broome-park-golf-country-club,25,Critical,Yes,98,2,3,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,9,2,4,3
Broome Park Hotel,https://www.kentvenues.co.uk/venues/broome-park-hotel,31,Critical,No,142,3,0,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,9,2,4,3
Browns Bluewater,https://www.kentvenues.co.uk/venues/browns-bluewater,25,Critical,Yes,119,4,2,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,1,11,2,4,5
Buckmore Park Karting,https://www.kentvenues.co.uk/venues/buckmore-park-karting-ltd,12,Critical,Yes,133,3,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,11,3,4,4
The Bull Inn Hotel,https://www.kentvenues.co.uk/venues/bull-inn-hotel,21,Critical,Yes,85,3,1,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,10,2,5,3
Burrswood Conference Centre,https://www.kentvenues.co.uk/venues/burrswood-conference-centre,0,Critical,Yes,95,1,0,No,No,No,No,No,No,No,No,No,No,No,0,12,4,5,3
Cafe Rouge Canterbury,https://www.kentvenues.co.uk/venues/cafe-rouge-canterbury,45,Critical,No,492,5,0,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,1,7,2,2,3
Calverley House Business & Conference Centre,https://www.kentvenues.co.uk/venues/calverley-house-business-conference-centre,0,Critical,Yes,135,0,0,No,No,No,No,No,Yes,No,Yes,No,No,No,0,13,4,5,4
Camden Place,https://www.kentvenues.co.uk/venues/camden-place,35,Critical,Yes,121,5,2,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,9,2,4,3
Campanile Dartford,https://www.kentvenues.co.uk/venues/campanile-dartford,34,Critical,Yes,165,4,2,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,9,2,4,3
Canterbury Cathedral Lodge,https://www.kentvenues.co.uk/venues/canterbury-cathedral-lodge,79,Warning,No,1898,6,3,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,2,4,0,2,2
Canterbury Christ Church University,https://www.kentvenues.co.uk/venues/canterbury-christ-church-university,41,Critical,No,278,6,1,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,3,8,1,5,2
Cave Hotel & Golf Resort,https://www.kentvenues.co.uk/venues/cave-hotel-golf-resort,90,Warning,No,3773,15,17,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3,2,0,1,1
CC Rooms,https://www.kentvenues.co.uk/venues/cc-rooms,34,Critical,No,1086,0,0,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,0,8,2,3,3
Chafford Park,https://www.kentvenues.co.uk/venues/chafford-park,1,Critical,No,0,2,0,No,No,No,No,No,Yes,No,Yes,No,No,No,0,11,3,5,3
Chapter One,https://www.kentvenues.co.uk/venues/chapter-one,30,Critical,Yes,95,5,2,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,2,9,2,4,3
Charlton Place,https://www.kentvenues.co.uk/venues/charlton-place,55,Critical,No,433,6,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,0,7,1,3,3
Chart Hills Golf Club,https://www.kentvenues.co.uk/venues/chart-hills-golf-club-2,47,Critical,Yes,101,4,5,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,3,8,2,2,4
Chartwell,https://www.kentvenues.co.uk/venues/chartwell,7,Critical,Yes,100,1,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,11,3,5,3
Chaucer Hotel,https://www.kentvenues.co.uk/venues/chaucer-hotel,10,Critical,Yes,82,0,3,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,3,10,3,4,3
Chiddingstone Castle,https://www.kentvenues.co.uk/venues/chiddingstone-castle,23,Critical,No,148,4,0,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,3,11,2,5,4
Chilham Village Hall,https://www.kentvenues.co.uk/venues/chilham-village-hall,48,Critical,No,248,8,1,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,0,9,1,4,4
Chilston Park Country House,https://www.kentvenues.co.uk/venues/chilston-park-country-house-hotel,34,Critical,Yes,117,3,2,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,9,2,4,3
Chislehurst Methodist Church,https://www.kentvenues.co.uk/venues/chislehurst-methodist-church,27,Critical,No,290,2,0,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,3,9,2,5,2
Churchill Theatre,https://www.kentvenues.co.uk/venues/churchill-theatre,38,Critical,Yes,100,3,2,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,3,9,2,3,4
Cineworld Ashford,https://www.kentvenues.co.uk/venues/cineworld-ashford,86,Warning,No,754,4,6,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,0,4,0,1,3
Cineworld Bexleyheath,https://www.kentvenues.co.uk/venues/cineworld-bexleyheath,63,Critical,No,631,0,3,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,1,5,1,2,2
Cineworld Rochester,https://www.kentvenues.co.uk/venues/cineworld-rochester,58,Critical,No,476,1,0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,1,6,1,3,2
Cinnamon Culture,https://www.kentvenues.co.uk/venues/cinnamon-culture,59,Critical,No,1897,3,0,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,1,6,1,2,3
Club Langley,https://www.kentvenues.co.uk/venues/club-langley,77,Warning,No,722,4,2,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,3,6,0,2,4
Cobtree Manor,https://www.kentvenues.co.uk/venues/cobtree-manor-park-golf-course,50,Critical,No,1914,2,4,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,1,7,1,4,2
Comfort Inn Ramsgate,https://www.kentvenues.co.uk/venues/comfort-inn-ramsgate,68,Critical,No,488,6,8,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,1,5,1,2,2
Cooling Castle Barn,https://www.kentvenues.co.uk/venues/cooling-castle-barn,17,Critical,Yes,129,6,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,3,10,3,4,3
Copper Rivet Distillery,https://www.kentvenues.co.uk/venues/copper-rivet-distillery,50,Critical,No,169,7,1,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,8,1,4,3
Cornerstone B&B,https://www.kentvenues.co.uk/venues/cornerstone-bb,44,Critical,No,1608,4,0,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1,7,2,2,3
Cornwallis Suite,https://www.kentvenues.co.uk/venues/cornwallis-suite,3,Critical,Yes,58,3,0,No,No,No,No,No,Yes,No,Yes,Yes,No,No,1,12,3,5,4
County Ground Beckenham,https://www.kentvenues.co.uk/venues/county-ground-beckenham,60,Critical,No,893,7,0,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,1,6,1,2,3
County Hall,https://www.kentvenues.co.uk/venues/county-hall,0,Critical,Yes,94,0,0,No,No,No,No,No,No,No,No,No,No,No,0,12,5,4,3
County Hotel,https://www.kentvenues.co.uk/venues/county-hotel,0,Critical,Yes,80,0,3,No,No,Yes,Yes,No,No,No,Yes,No,No,No,0,11,3,5,3
Court Lodge Estate,https://www.kentvenues.co.uk/venues/court-lodge-estate,0,Critical,Yes,90,2,0,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,0,13,3,6,4
Crofton Halls,https://www.kentvenues.co.uk/venues/crofton-halls,28,Critical,No,404,2,0,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,0,10,2,4,4
Crown Inn,https://www.kentvenues.co.uk/venues/crown-inn,56,Critical,No,410,1,4,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,3,6,1,3,2
Curzon Canterbury,https://www.kentvenues.co.uk/venues/curzon-canterbury,4,Critical,Yes,93,3,0,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,1,12,3,4,5
Danson House,https://www.kentvenues.co.uk/venues/danson-house,28,Critical,No,357,4,0,No,No,No,No,No,Yes,No,Yes,Yes,No,No,0,10,2,4,4
Darling Buds Farm,https://www.kentvenues.co.uk/venues/darling-buds-farm,43,Critical,No,398,6,0,Yes,No,No,Yes,No,No,No,No,No,No,No,0,6,2,3,1
Deal Town Hall,https://www.kentvenues.co.uk/venues/deal-town-hall,32,Critical,No,666,1,0,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,0,9,2,4,3
Detling Corporate Services Conference Room,https://www.kentvenues.co.uk/venues/detling-corporate-services-conference-room,0,Critical,No,74,0,0,No,No,No,No,No,No,No,Yes,No,No,No,1,12,3,6,3
Diggerland,https://www.kentvenues.co.uk/venues/diggerland,25,Critical,Yes,127,2,1,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,10,2,5,3
Dode Church,https://www.kentvenues.co.uk/venues/dode-church,0,Critical,Yes,79,0,0,No,No,No,No,No,Yes,No,No,No,No,No,0,13,4,5,4
Dog & Bear Hotel,https://www.kentvenues.co.uk/venues/dog-bear-hotel,40,Critical,Yes,106,6,3,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,3,8,2,4,2
Donnington Manor,https://www.kentvenues.co.uk/venues/donnington-manor,83,Warning,No,719,7,4,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,3,4,0,2,2
DoubleTree by Hilton Dartford Bridge,https://www.kentvenues.co.uk/venues/doubletree-by-hilton-dartford-bridge,60,Critical,No,325,4,7,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,3,7,1,1,5
Dover Town Hall,https://www.kentvenues.co.uk/venues/dover-town-hall,16,Critical,Yes,68,2,1,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,1,11,2,6,3
Dreamland Margate,https://www.kentvenues.co.uk/venues/dreamland-margate-2,94,Suggestions,No,3414,10,3,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3,2,0,0,2
Due Amici Ristorante,https://www.kentvenues.co.uk/venues/due-amici-ristorante,0,Critical,Yes,0,0,0,No,No,No,No,No,No,No,No,No,No,No,0,1,1,0,0
East Kent College,https://www.kentvenues.co.uk/venues/east-kent-college,0,Critical,Yes,75,0,0,No,No,No,No,No,Yes,No,No,No,No,No,0,13,4,5,4
East Quay venue,https://www.kentvenues.co.uk/venues/east-quay-venue,76,Warning,No,1308,3,3,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,0,5,0,2,3
Eastwell Manor,https://www.kentvenues.co.uk/venues/eastwell-manor-2,67,Critical,No,1278,4,4,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3,5,1,1,3
Eastwell Park Boathouse,https://www.kentvenues.co.uk/venues/eastwell-park-boathouse,23,Critical,No,363,0,0,Yes,No,No,Yes,No,No,No,No,No,No,No,0,7,3,3,1
Edenwood Place,https://www.kentvenues.co.uk/venues/edenwood-place,1,Critical,No,0,2,0,No,No,No,No,No,Yes,No,Yes,No,No,No,0,11,3,5,3
Elham Village Hall,https://www.kentvenues.co.uk/venues/elham-village-hall,54,Critical,No,810,5,2,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,0,8,1,3,4
Elite Venue,https://www.kentvenues.co.uk/venues/elite-venue-3,87,Warning,No,3101,12,4,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,3,4,0,1,3
Elvey Farm,https://www.kentvenues.co.uk/venues/elvey-farm,64,Warning,No,1456,2,1,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,0,6,0,4,2
Etchinghill Golf Club,https://www.kentvenues.co.uk/venues/etchinghill-golf-club,47,Critical,No,290,4,1,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,1,9,1,3,5
Everest Inn Ashford,https://www.kentvenues.co.uk/venues/everest-inn-ashford,78,Warning,No,958,3,3,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,1,5,0,1,4
Everest Inn Hythe,https://www.kentvenues.co.uk/venues/everest-inn-hythe,68,Critical,No,1181,6,0,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,0,5,1,1,3
Falconhurst,https://www.kentvenues.co.uk/venues/falconhurst,52,Critical,No,300,5,0,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,3,7,1,3,3
Falstaff Hotel,https://www.kentvenues.co.uk/venues/falstaff-hotel,42,Critical,Yes,88,4,4,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,7,2,2,3
The Ferry Inn,https://www.kentvenues.co.uk/venues/ferry-inn,57,Critical,No,3382,7,0,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,1,6,2,1,3
Folkestone Basepoint,https://www.kentvenues.co.uk/venues/folkestone-basepoint,21,Critical,Yes,145,2,2,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,1,11,2,6,3
Fordwich Town Hall,https://www.kentvenues.co.uk/venues/fordwich-town-hall,43,Critical,No,654,1,0,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,0,9,1,4,4
Fort Road Hotel,https://www.kentvenues.co.uk/venues/fort-road-hotel,63,Warning,No,838,8,12,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,0,6,0,4,2
Frankie and Benny's Bexleyheath,https://www.kentvenues.co.uk/venues/frankie-and-bennys-bexleyheath,30,Critical,No,313,3,0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,1,9,2,3,4
Frankie and Benny's Orpington,https://www.kentvenues.co.uk/venues/frankie-and-bennys-orpington,30,Critical,No,491,3,0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,0,9,2,3,4
Frasers,https://www.kentvenues.co.uk/venues/frasers,64,Critical,No,447,8,3,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,5,1,2,2
G Casino,https://www.kentvenues.co.uk/venues/g-casino,62,Critical,No,498,1,4,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,0,6,1,2,3
Girne American University,https://www.kentvenues.co.uk/venues/girne-american-university,23,Critical,No,110,0,0,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,1,10,2,5,3
Go Ape Bedgebury,https://www.kentvenues.co.uk/venues/go-ape-bedgebury,32,Critical,No,270,4,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,9,2,3,4
Go Ape Leeds Castle,https://www.kentvenues.co.uk/venues/go-ape-leeds-castle,22,Critical,No,99,3,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,10,2,4,4
Goodnestone Park,https://www.kentvenues.co.uk/venues/goodnestone-park,30,Critical,Yes,98,7,2,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,9,2,4,3
Grange Moor Hotel,https://www.kentvenues.co.uk/venues/grange-moor-hotel,53,Critical,No,674,4,3,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,3,7,1,3,3
Grangemoor Hotel,https://www.kentvenues.co.uk/venues/grangemoor-hotel,58,Critical,No,1248,4,3,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,0,7,1,2,4
Gravesend Old Town Hall,https://www.kentvenues.co.uk/venues/gravesend-old-town-hall,27,Critical,No,798,2,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,3,9,2,4,3
Greene King Brewery,https://www.kentvenues.co.uk/venues/green-king-brewery,11,Critical,No,366,0,0,No,No,No,No,No,Yes,No,Yes,No,No,No,0,10,3,4,3
Greenhill Farm,https://www.kentvenues.co.uk/venues/greenhill-farm,18,Critical,No,99,3,0,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,11,2,5,4
Groombridge Place,https://www.kentvenues.co.uk/venues/groombridge-place,55,Critical,No,398,5,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,3,7,1,3,3
Grove Ferry Inn,https://www.kentvenues.co.uk/venues/grove-ferry-inn,12,Critical,Yes,92,5,0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,0,10,3,4,3
